created at,id,favorite count,retweet count,is retweet,source,in reply to user_id,text
Wed Mar 15 11:13:58 +0000 2017,841970726341074945,89398,14913,False,Twitter for iPhone,,"Will be going to Detroit, Michigan (love), today for a big meeting on bringing back car production to State &amp; U.S. Already happening!"
Wed Mar 15 11:02:40 +0000 2017,841967881516679168,127012,40630,False,Twitter for iPhone,,"Can you imagine what the outcry would be if @SnoopDogg, failing career and all, had aimed and fired the gun at President Obama? Jail time!"
Wed Mar 15 10:55:30 +0000 2017,841966077005463553,102694,25824,False,Twitter for iPhone,,"Does anybody really believe that a reporter, who nobody ever heard of, ""went to his mailbox"" and found my tax returns? @NBCNews  FAKE NEWS!"
Tue Mar 14 16:12:22 +0000 2017,841683431398469632,62952,12406,False,Twitter for iPhone,,Great optimism in America – and the results will be even better! https://t.co/SYBl47CsZn
Tue Mar 14 15:00:25 +0000 2017,841665325682827265,99054,24676,False,Twitter for iPhone,,"JOBS, JOBS, JOBS! https://t.co/wAkQMKdPXA"
Mon Mar 13 22:54:16 +0000 2017,841422186573369345,48515,8053,False,Twitter for iPhone,,"Meeting w/ Washington, D.C. @MayorBowser and Metro GM Paul Wiedefeld about incoming winter storm preparations here… https://t.co/mg0A4Hq3bD"
Mon Mar 13 20:57:02 +0000 2017,841392683625172992,71930,15791,False,Twitter for iPhone,,Proud to welcome our great Cabinet this afternoon for our first meeting. Unfortunately 4 seats were empty because S… https://t.co/bMYph832hF
Mon Mar 13 17:20:15 +0000 2017,841338126316511233,39015,6846,False,Twitter for iPhone,,Healthcare listening session w/ @VP &amp; @SecPriceMD. Watch: https://t.co/5ayQ4dr8Ip #ReadTheBill:… https://t.co/1cQI0ZBUv8
Mon Mar 13 13:11:17 +0000 2017,841275470796738560,58300,10454,False,Twitter for iPhone,25073877,"ObamaCare is imploding. It is a disaster and 2017 will be the worst year yet, by far! Republicans will come together and save the day."
Mon Mar 13 12:52:29 +0000 2017,841270741060464648,100557,19556,False,Twitter for iPhone,,"It is amazing how rude much of the media is to my very hard working representatives. Be nice, you will do much better!"
Sun Mar 12 12:36:59 +0000 2017,840904454836781056,0,6868,True,Twitter for iPhone,,"RT @AmericaFirstPol: .@POTUS Trump led a historic journey to the White House. 50 days in, that historic journey continues. Take a look 👉 ht…"
Sat Mar 11 14:39:07 +0000 2017,840572799202783233,103623,16563,False,Twitter for iPhone,,We are making great progress with healthcare. ObamaCare is imploding and will only get worse. Republicans coming together to get job done!
Fri Mar 10 15:40:53 +0000 2017,840225958854561792,42988,8650,False,Twitter for iPhone,,"Weekly Address - 11:00 A.M. at the @WhiteHouse! #MAGA🇺🇸
➡️https://t.co/YSaPJnSX2i https://t.co/Gb8iTGzb6j"
Fri Mar 10 13:45:02 +0000 2017,840196801009451009,0,7724,True,Twitter for iPhone,,"RT @DRUDGE_REPORT: GREAT AGAIN:  +235,000 https://t.co/GkockGNdtC"
Fri Mar 10 13:32:05 +0000 2017,840193545046773760,0,9419,True,Twitter for iPhone,,"RT @foxandfriends: ""Never give up....that's the worst thing you could do. There's always a chance."" -Kyle Coddington's message to those als…"
Thu Mar 09 23:11:27 +0000 2017,839976956703748096,56480,10506,False,Twitter for iPhone,,Honored to meet this years @SenateYouth delegates w/ @VP Pence in the East Room of the @WhiteHouse. Congratulations… https://t.co/oQIx7LybCV
Thu Mar 09 22:36:27 +0000 2017,839968149890076672,67344,16144,False,Twitter for iPhone,,'U.S. Consumer Comfort Just Reached Its Highest Level in a Decade' ➡️https://t.co/S8nZgmeMMV https://t.co/xC0piRa6eP
Thu Mar 09 17:01:17 +0000 2017,839883804315684864,111369,21021,False,Twitter for iPhone,,"Despite what you hear in the press, healthcare is coming along great. We are talking to many groups and it will end in a beautiful picture!"
Thu Mar 09 13:13:54 +0000 2017,839826581354921984,0,12324,True,Twitter for iPhone,,RT @foxnation: .@realDonaldTrump's First Full Month in Office Sees Biggest Jobs Gain 'In Years': Report: https://t.co/rx4bgI1MWK
Wed Mar 08 23:54:16 +0000 2017,839625347524096000,89867,21965,False,Twitter for iPhone,,"Great news. We are only just beginning. Together, we are going to #MAGA! https://t.co/BSp685Q9Qf https://t.co/K7yeBZsf6r"
Wed Mar 08 23:50:25 +0000 2017,839624377826230272,54222,7824,False,Twitter for iPhone,,Met with @RepCummings today at the @WhiteHouse. Great discussion!
Wed Mar 08 12:11:25 +0000 2017,839448469374894080,84906,15769,False,Twitter for Android,,LinkedIn Workforce Report: January and February were the strongest consecutive months for hiring since August and September 2015
Wed Mar 08 11:13:44 +0000 2017,839433951957696513,115070,21689,False,Twitter for iPhone,,"On International Women's Day, join me in honoring the critical role of women here in America &amp; around the world."
Wed Mar 08 11:12:39 +0000 2017,839433678275153921,120999,23139,False,Twitter for iPhone,,I have tremendous respect for women and the many roles they serve that are vital to the fabric of our society and our economy.
Wed Mar 08 00:14:30 +0000 2017,839268048313929729,81422,15496,False,Twitter for iPhone,,I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamacare is a disaster!
